CorticalThickness,Structure,d-icv,se-icv,low-ci-icv,up-ci-icv,n-early,n-late,pobs,fdr-p
MDDadult-earlyvslate,L-bankssts,0.008,0.061,,,432,1026,0.896,0.946
MDDadult-earlyvslate,L-caudalanteriorcingulate,-0.077,0.06,,,462,1087,0.199,0.827
MDDadult-earlyvslate,L-caudalmiddlefrontal,0.03,0.06,,,461,1086,0.62,0.868
MDDadult-earlyvslate,L-cuneus,0.045,0.093,,,462,1087,0.632,0.868
MDDadult-earlyvslate,L-entorhinal,-0.002,0.061,,,455,1081,0.969,0.969
MDDadult-earlyvslate,L-fusiform,0.046,0.06,,,458,1086,0.445,0.839
MDDadult-earlyvslate,L-inferiorparietal,0.042,0.061,,,461,1084,0.493,0.863
MDDadult-earlyvslate,L-inferiortemporal,0.055,0.075,,,452,1078,0.462,0.839
MDDadult-earlyvslate,L-isthmuscingulate,0.043,0.081,,,462,1087,0.596,0.863
MDDadult-earlyvslate,L-lateraloccipital,0.011,0.094,,,462,1086,0.91,0.946
MDDadult-earlyvslate,L-lateralorbitofrontal,-0.01,0.09,,,462,1084,0.91,0.946
MDDadult-earlyvslate,L-lingual,0.101,0.06,,,461,1083,0.089,0.775
MDDadult-earlyvslate,L-medialorbitofrontal,0.035,0.06,,,460,1079,0.56,0.863
MDDadult-earlyvslate,L-middletemporal,0.078,0.061,,,440,1054,0.199,0.827
MDDadult-earlyvslate,L-parahippocampal,0.043,0.073,,,462,1086,0.555,0.863
MDDadult-earlyvslate,L-paracentral,0.057,0.059,,,462,1086,0.34,0.839
MDDadult-earlyvslate,L-parsopercularis,0.022,0.06,,,462,1086,0.706,0.887
MDDadult-earlyvslate,L-parsorbitalis,0.088,0.059,,,462,1088,0.141,0.827
MDDadult-earlyvslate,L-parstriangularis,0.125,0.06,,,462,1086,0.036,0.611
MDDadult-earlyvslate,L-pericalcarine,0.008,0.07,,,461,1085,0.907,0.946
MDDadult-earlyvslate,L-postcentral,0.104,0.06,,,461,1084,0.081,0.775
MDDadult-earlyvslate,L-posteriorcingulate,0.013,0.059,,,462,1088,0.822,0.946
MDDadult-earlyvslate,L-precentral,0.148,0.06,,,461,1086,0.013,0.611
MDDadult-earlyvslate,L-precuneus,0.07,0.06,,,461,1084,0.237,0.827
MDDadult-earlyvslate,L-rostralanteriorcingulate,-0.059,0.075,,,462,1086,0.431,0.839
MDDadult-earlyvslate,L-rostralmiddlefrontal,0.132,0.06,,,462,1085,0.026,0.611
MDDadult-earlyvslate,L-superiorfrontal,0.053,0.059,,,462,1086,0.371,0.839
MDDadult-earlyvslate,L-superiorparietal,0.141,0.06,,,461,1086,0.018,0.611
MDDadult-earlyvslate,L-superiortemporal,0.057,0.089,,,434,1047,0.523,0.863
MDDadult-earlyvslate,L-supramarginal,0.011,0.06,,,457,1072,0.858,0.946
MDDadult-earlyvslate,L-frontalpole,-0.051,0.07,,,462,1086,0.467,0.839
MDDadult-earlyvslate,L-temporalpole,-0.029,0.081,,,446,1077,0.72,0.887
MDDadult-earlyvslate,L-transversetemporal,0.031,0.06,,,461,1083,0.604,0.863
MDDadult-earlyvslate,L-insula,-0.033,0.059,,,462,1088,0.582,0.863
MDDadult-earlyvslate,R-bankssts,0.05,0.061,,,444,1041,0.407,0.839
MDDadult-earlyvslate,R-caudalanteriorcingulate,-0.062,0.059,,,462,1088,0.295,0.827
MDDadult-earlyvslate,R-caudalmiddlefrontal,0.055,0.059,,,462,1087,0.358,0.839
MDDadult-earlyvslate,R-cuneus,0.079,0.059,,,461,1087,0.182,0.827
MDDadult-earlyvslate,R-entorhinal,-0.021,0.06,,,452,1080,0.722,0.887
MDDadult-earlyvslate,R-fusiform,0.039,0.06,,,459,1087,0.513,0.863
MDDadult-earlyvslate,R-inferiorparietal,0.095,0.068,,,461,1084,0.164,0.827
MDDadult-earlyvslate,R-inferiortemporal,0.091,0.082,,,453,1082,0.265,0.827
MDDadult-earlyvslate,R-isthmuscingulate,0.004,0.059,,,462,1086,0.95,0.964
MDDadult-earlyvslate,R-lateraloccipital,0.078,0.094,,,460,1086,0.406,0.839
MDDadult-earlyvslate,R-lateralorbitofrontal,-0.006,0.059,,,462,1088,0.919,0.946
MDDadult-earlyvslate,R-lingual,0.056,0.075,,,460,1084,0.457,0.839
MDDadult-earlyvslate,R-medialorbitofrontal,0.069,0.062,,,460,1085,0.264,0.827
MDDadult-earlyvslate,R-middletemporal,0.054,0.06,,,455,1081,0.366,0.839
MDDadult-earlyvslate,R-parahippocampal,0.017,0.059,,,461,1087,0.781,0.926
MDDadult-earlyvslate,R-paracentral,-0.017,0.062,,,462,1087,0.779,0.926
MDDadult-earlyvslate,R-parsopercularis,-0.026,0.06,,,460,1086,0.663,0.876
MDDadult-earlyvslate,R-parsorbitalis,0.072,0.063,,,462,1088,0.251,0.827
MDDadult-earlyvslate,R-parstriangularis,-0.009,0.06,,,461,1086,0.882,0.946
MDDadult-earlyvslate,R-pericalcarine,0.057,0.102,,,461,1087,0.577,0.863
MDDadult-earlyvslate,R-postcentral,0.032,0.06,,,461,1085,0.588,0.863
MDDadult-earlyvslate,R-posteriorcingulate,-0.08,0.063,,,462,1088,0.204,0.827
MDDadult-earlyvslate,R-precentral,0.103,0.06,,,460,1087,0.083,0.775
MDDadult-earlyvslate,R-precuneus,0.09,0.065,,,462,1084,0.167,0.827
MDDadult-earlyvslate,R-rostralanteriorcingulate,-0.099,0.061,,,462,1088,0.106,0.826
MDDadult-earlyvslate,R-rostralmiddlefrontal,0.161,0.08,,,461,1086,0.044,0.611
MDDadult-earlyvslate,R-superiorfrontal,0.046,0.059,,,462,1087,0.438,0.839
MDDadult-earlyvslate,R-superiorparietal,0.065,0.078,,,461,1088,0.408,0.839
MDDadult-earlyvslate,R-superiortemporal,0.072,0.061,,,430,1048,0.237,0.827
MDDadult-earlyvslate,R-supramarginal,0.026,0.06,,,455,1072,0.663,0.876
MDDadult-earlyvslate,R-frontalpole,0.071,0.088,,,462,1085,0.415,0.839
MDDadult-earlyvslate,R-temporalpole,0.01,0.068,,,446,1078,0.882,0.946
MDDadult-earlyvslate,R-transversetemporal,0.029,0.074,,,462,1081,0.691,0.887
MDDadult-earlyvslate,R-insula,-0.062,0.059,,,462,1088,0.295,0.827
